,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
JOSH ALLEN,22.6,28.4,18.1,0.4,64%,1.6,6.0,0.7,31.2,0.8,219.5,385.0,483.0,307.0,6.0,64%,28.0,1.4,1,1,0.6,1,3,102.0,12.0,531.0,14.0,BUF,3731.0,23,24,24,25,25,75,25,25,75,1,22.5,20.8,31,28.2,18,30.0,10,37.0,0,0.0,0,0.0
LAMAR JACKSON,25.6,27.9,18.6,0.2,67%,2.4,8.2,0.2,53.8,1.4,245.4,434.4,474.0,316.0,4.0,67%,41.0,1.8,1,2,0.7,1,4,139.0,4.0,915.0,23.0,BAL,4172.0,13,7,20,31,0,88,31,0,88,1,23.5,21.7,18,21.2,8,18.2,0,0.0,0,0.0,0,0.0
JAYDEN DANIELS,21.5,28.2,19.5,0.5,69%,1.5,8.7,0.4,52.4,2.8,209.9,364.8,480.0,331.0,9.0,69%,25.0,3.3,1,3,0.8,1,6,148.0,6.0,891.0,47.0,WAS,3568.0,4,9,5,25,25,75,25,25,75,1,28.5,30.8,37,30.1,16,23.5,10,33.3,0,0.0,0,0.0
JALEN HURTS,21.3,24.1,16.5,0.3,69%,1.2,10.0,0.9,42.0,2.5,193.5,320.1,361.0,248.0,5.0,69%,18.0,3.9,2,4,0.7,1,5,150.0,14.0,630.0,38.0,PHI,2903.0,1,2,10,20,13,53,20,13,53,1,38.5,36.0,49,37.7,28,42.4,18,51.4,0,0.0,0,0.0
JOE BURROW,22.5,38.4,27.1,0.5,71%,2.5,2.5,0.1,11.8,2.8,289.3,381.8,652.0,460.0,9.0,71%,43.0,4.6,2,5,0.7,2,5,42.0,2.0,201.0,48.0,CIN,4918.0,16,11,22,31,19,69,31,19,69,1,38.0,34.5,6,8.6,3,6.8,3,14.3,0,0.0,0,0.0
PATRICK MAHOMES,18.3,36.3,24.5,0.7,67%,1.6,3.6,0.1,19.2,2.3,245.5,293.0,581.0,392.0,11.0,67%,26.0,7.3,5,6,1.9,2,13,58.0,2.0,307.0,36.0,KC,3928.0,11,3,26,6,31,31,6,31,31,1,59.0,50.7,9,10.8,2,5.0,1,4.0,0,0.0,0,0.0
BAKER MAYFIELD,22.5,33.5,23.9,0.9,71%,2.4,3.5,0.2,22.2,2.4,264.7,381.8,570.0,407.0,16.0,71%,41.0,8.4,6,7,2.4,2,18,60.0,3.0,378.0,40.0,TB,4500.0,3,10,2,38,19,69,38,19,69,1,71.5,63.7,8,10.4,5,11.6,2,10.0,0,0.0,0,0.0
BO NIX,19.3,33.4,22.1,0.7,66%,1.7,5.4,0.2,25.3,1.4,222.1,328.2,567.0,376.0,12.0,66%,29.0,8.7,6,8,2.2,2,16,92.0,4.0,430.0,24.0,DEN,3775.0,7,8,8,13,31,50,13,31,50,1,79.0,72.0,17,23.3,6,18.2,5,23.8,1,1.5,1,3.3
KYLER MURRAY,18.1,31.8,21.9,0.6,69%,1.2,4.6,0.3,33.6,1.8,226.5,308.2,541.0,372.0,11.0,69%,21.0,10.3,6,9,2.6,3,16,78.0,5.0,572.0,30.0,ARI,3851.0,30,31,12,13,38,44,13,38,44,1,92.5,86.8,12,16.9,2,6.9,1,5.9,0,0.0,0,0.0
DAK PRESCOTT,15.6,35.8,23.1,1.0,65%,1.4,1.6,0.1,6.8,2.6,247.3,124.5,286.0,185.0,8.0,65%,11.0,11.0,6,10,3.2,3,20,13.0,1.0,54.0,21.0,DAL,1978.0,14,16,7,13,50,13,13,50,13,1,105.5,104.5,2,3.7,2,7.7,2,16.7,0,0.0,0,0.0
BROCK PURDY,18.6,30.3,20.0,0.8,66%,1.3,4.4,0.3,21.5,2.1,257.6,278.9,455.0,300.0,12.0,66%,20.0,12.3,7,11,3.7,3,27,66.0,5.0,323.0,31.0,SF,3864.0,21,22,23,7,20,60,7,20,60,1,110.0,99.8,15,15.6,10,17.9,4,16.7,0,0.0,0,0.0
JUSTIN FIELDS,12.0,16.1,10.6,0.1,66%,0.5,6.2,0.5,28.9,1.6,110.6,120.1,161.0,106.0,1.0,66%,5.0,12.6,7,12,4.5,3,28,62.0,5.0,289.0,16.0,NYJ,1106.0,27,29,16,10,60,30,10,60,30,1,114.5,111.2,15,16.0,11,20.8,4,23.5,0,0.0,0,0.0
JUSTIN HERBERT,17.0,29.6,19.5,0.2,66%,1.4,4.1,0.1,18.0,2.4,227.6,288.4,504.0,332.0,3.0,66%,23.0,13.9,7,13,3.0,3,21,69.0,2.0,306.0,41.0,LAC,3870.0,8,6,14,0,56,38,0,56,38,1,111.0,112.3,6,8.2,4,8.7,1,4.5,0,0.0,0,0.0
DRAKE MAYE,14.4,26.0,17.3,0.8,67%,1.2,4.2,0.2,32.4,2.6,175.1,187.1,338.0,225.0,10.0,67%,15.0,13.9,8,14,3.1,3,22,54.0,2.0,421.0,34.0,NE,2276.0,25,26,19,0,46,31,0,46,31,1,124.5,133.0,5,7.6,2,6.9,0,0.0,0,0.0,0,0.0
CALEB WILLIAMS,15.3,33.1,20.6,0.4,62%,1.2,4.8,0.0,28.8,4.0,208.3,260.5,562.0,351.0,6.0,62%,20.0,13.9,7,15,3.2,3,22,81.0,0.0,489.0,68.0,CHI,3541.0,18,17,28,6,56,38,6,56,38,1,106.5,121.0,10,16.9,1,3.0,1,4.8,0,0.0,0,0.0
JARED GOFF,19.7,31.7,22.9,0.7,72%,2.2,2.1,0.0,3.3,1.8,272.3,335.5,539.0,390.0,12.0,72%,37.0,15.1,8,16,3.2,3,24,35.0,0.0,56.0,31.0,DET,4629.0,24,19,30,13,31,50,13,31,50,1,100.5,102.0,9,8.0,2,3.1,1,2.9,1,1.1,1,2.4
JORDAN LOVE,16.3,28.3,17.9,0.7,63%,1.7,1.7,0.1,5.5,0.9,225.9,244.9,425.0,268.0,11.0,63%,25.0,16.2,9,17,2.9,4,23,25.0,1.0,83.0,14.0,GB,3389.0,31,25,32,7,43,36,7,43,36,1,131.5,140.0,11,11.3,4,6.9,1,3.8,0,0.0,0,0.0
TREVOR LAWRENCE,15.2,28.4,17.2,0.7,61%,1.1,2.6,0.3,11.9,1.8,204.5,152.2,284.0,172.0,7.0,61%,11.0,17.3,11,18,2.6,4,22,26.0,3.0,119.0,18.0,JAC,2045.0,29,30,17,0,50,30,0,50,30,1,140.0,160.8,4,6.0,4,10.0,3,13.6,0,0.0,0,0.0
CJ STROUD,13.7,31.3,19.8,0.7,63%,1.2,3.1,0.0,13.7,3.1,219.2,232.4,532.0,336.0,12.0,63%,20.0,18.0,9,19,2.7,4,23,52.0,0.0,233.0,52.0,HOU,3727.0,17,14,21,0,63,13,0,63,13,1,129.0,131.2,7,8.3,3,7.7,2,13.3,1,1.6,1,2.8
JJ MCCARTHY,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.9,10,20,3.4,4,29,0.0,0.0,0.0,0.0,MIN,0.0,22,18,29,0,0,0,0,0,0,1,135.0,143.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TUA TAGOVAILOA,17.1,36.3,26.5,0.6,73%,1.7,1.5,0.0,4.5,1.9,260.6,188.6,399.0,291.0,7.0,73%,19.0,21.9,16,21,2.5,4,27,17.0,0.0,49.0,21.0,MIA,2867.0,19,20,25,9,45,36,9,45,36,1,152.5,172.3,2,2.9,0,0.0,0,0.0,0,0.0,0,0.0
BRYCE YOUNG,14.6,27.4,16.7,0.6,61%,1.1,3.1,0.4,17.8,2.1,171.6,204.0,384.0,234.0,9.0,61%,15.0,22.2,16,22,2.5,4,27,43.0,6.0,249.0,29.0,CAR,2403.0,10,21,1,0,62,15,0,62,15,1,163.0,182.5,10,15.4,7,17.1,2,9.1,0,0.0,0,0.0
MICHAEL PENIX,9.4,21.0,12.2,0.6,58%,0.6,1.4,0.2,2.2,0.8,155.0,47.1,105.0,61.0,3.0,58%,3.0,23.2,15,23,2.2,4,29,7.0,1.0,11.0,4.0,ATL,775.0,12,13,6,0,100,0,0,100,0,1,163.5,183.5,2,2.3,2,3.8,1,5.0,0,0.0,0,0.0
GENO SMITH,16.5,34.0,23.9,0.9,70%,1.2,3.1,0.1,16.0,2.9,254.1,281.0,578.0,407.0,15.0,70%,21.0,24.2,19,24,2.2,4,30,53.0,2.0,272.0,50.0,LV,4320.0,9,12,4,0,50,31,0,50,31,1,175.5,198.5,8,14.8,3,8.6,3,12.0,0,0.0,0,0.0
