PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_TIERS,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
A.J. Brown,12.7,5.0,0.8,7.6,76.8,0.0,0.0,0.0,177.5,6.4,2.0,7.0,1.7,2.0,13.0,17.7,247.5,8.3,1.0,8.0,2.5,2.0,16.0,8.0,2.0,70.0,11.0,106.0,1075.0,0.0,0.0,0.0,TEN,25,27,20,21.4,21.4,64.3,1
A.J. Green,4.0,2.9,0.1,6.5,32.7,0.0,0.0,0.0,64.3,78.1,27.0,78.0,8.3,8.0,113.0,7.0,111.3,75.0,49.0,74.0,8.5,7.0,97.0,76.0,8.0,47.0,2.0,104.0,523.0,0.0,0.0,0.0,ARI,11,13,15,0.0,62.5,25.0,3
Adam Humphries,5.0,3.3,0.3,5.0,32.6,0.1,0.0,0.0,34.8,115.2,52.0,133.0,24.1,10.0,161.0,8.3,57.8,104.1,68.0,120.0,15.7,10.0,138.0,130.0,10.0,23.0,2.0,35.0,228.0,1.0,0.0,0.0,WAS,14,25,1,0.0,0.0,0.0,3
Adam Thielen,12.0,4.9,0.9,7.2,61.7,0.2,0.0,1.0,180.0,19.7,10.0,19.0,3.6,4.0,38.0,16.9,254.0,23.6,15.0,23.0,4.3,4.0,38.0,22.0,4.0,74.0,14.0,108.0,925.0,3.0,0.0,15.0,MIN,18,6,28,26.7,26.7,53.3,2
Albert Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.8,117.0,179.0,56.0,11.0,282.0,0.0,0.0,127.0,96.0,133.0,37.3,10.0,328.0,177.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,20,4,29,0.0,0.0,0.0,7
Alex Erickson,0.7,0.8,0.0,1.1,8.7,0.3,0.0,0.4,10.6,178.3,155.0,193.0,20.9,12.0,212.0,1.4,22.6,197.4,165.0,218.0,26.5,12.0,222.0,190.0,12.0,12.0,0.0,17.0,139.0,5.0,0.0,7.0,FA,33,33,33,0.0,0.0,0.0,0
Allen Lazard,6.5,3.3,0.3,4.6,45.1,0.2,0.0,1.7,64.8,72.2,56.0,69.0,8.9,7.0,102.0,9.8,97.8,80.4,56.0,80.0,10.1,8.0,107.0,74.0,7.0,33.0,3.0,46.0,451.0,2.0,0.0,17.0,GB,29,29,19,10.0,60.0,20.0,4
Allen Robinson II,10.1,6.4,0.4,9.4,78.1,0.1,0.0,-0.1,160.9,11.7,5.0,10.0,2.2,3.0,19.0,16.4,262.9,9.7,5.0,10.0,1.8,2.0,16.0,10.0,2.0,102.0,6.0,151.0,1250.0,1.0,0.0,-1.0,CHI,12,19,9,18.8,12.5,50.0,0
Alshon Jeffery,2.5,0.9,0.1,1.9,16.4,0.0,0.0,0.0,17.5,118.9,93.0,136.0,18.2,10.0,170.0,3.4,23.5,134.1,109.0,152.0,23.4,11.0,196.0,136.0,10.0,6.0,1.0,13.0,115.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,0
Amari Cooper,9.1,5.8,0.3,8.1,69.6,0.4,0.0,0.9,144.8,15.2,9.0,16.0,3.2,3.0,29.0,14.8,236.8,15.2,9.0,14.0,2.9,3.0,24.0,13.0,3.0,92.0,5.0,130.0,1114.0,6.0,0.0,14.0,DAL,27,21,27,6.3,18.8,68.8,2
Amari Rodgers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,65.0,93.0,11.8,8.0,125.0,0.0,0.0,98.5,71.0,95.0,12.5,8.0,145.0,93.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,29,29,19,0.0,0.0,0.0,3
Amon-Ra St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,50.0,80.0,13.7,8.0,115.0,0.0,0.0,73.9,45.0,73.0,12.2,7.0,114.0,78.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,23,30,6,0.0,0.0,0.0,3
Andre Roberts,-0.1,0.3,0.0,0.3,2.3,0.1,0.0,-0.2,-0.9,150.7,99.0,192.0,55.1,12.0,227.0,0.2,3.1,146.0,115.0,175.0,23.5,11.0,187.0,205.0,12.0,4.0,0.0,5.0,34.0,1.0,0.0,-3.0,HOU,10,14,13,0.0,0.0,0.0,5
Andy Isabella,2.6,1.6,0.2,2.7,17.2,0.1,0.0,-0.5,33.8,110.2,91.0,107.0,11.2,9.0,158.0,4.2,54.8,113.3,94.0,111.0,12.1,9.0,172.0,107.0,9.0,21.0,2.0,35.0,224.0,1.0,0.0,-6.0,ARI,11,13,15,0.0,0.0,0.0,5
Anthony Miller,3.7,3.1,0.1,4.8,30.3,0.1,0.0,0.8,59.7,88.1,67.0,87.0,9.7,8.0,118.0,6.8,108.7,91.5,68.0,92.0,13.2,8.0,135.0,87.0,8.0,49.0,2.0,76.0,485.0,2.0,0.0,12.0,HOU,10,14,13,0.0,68.8,12.5,3
Anthony Schwartz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.4,104.0,141.0,11.4,10.0,160.0,0.0,0.0,141.4,109.0,137.0,34.6,10.0,321.0,139.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,32,31,24,0.0,0.0,0.0,5
Antonio Brown,9.0,5.6,0.5,7.8,60.4,0.3,0.0,-0.3,72.1,45.2,19.0,48.0,9.2,6.0,69.0,14.6,117.1,39.2,17.0,38.0,8.3,5.0,69.0,44.0,6.0,45.0,4.0,62.0,483.0,2.0,0.0,-2.0,TB,19,15,21,12.5,25.0,50.0,3
Antonio Callaway,0.4,0.4,0.0,0.8,4.0,0.0,0.0,0.0,2.0,171.6,103.0,177.0,36.9,11.0,222.0,0.8,4.0,175.6,153.0,209.0,22.2,12.0,212.0,170.0,11.0,2.0,0.0,4.0,20.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,5
Antonio Gandy-Golden,0.4,0.2,0.0,1.2,0.5,0.2,0.0,3.7,2.5,123.1,99.0,123.0,18.7,10.0,175.0,0.6,3.5,133.6,107.0,136.0,20.4,10.0,191.0,122.0,10.0,1.0,0.0,7.0,3.0,1.0,0.0,22.0,WAS,14,25,1,0.0,0.0,0.0,6
Ashton Dulin,0.5,0.2,0.0,0.5,4.1,0.2,0.0,0.8,6.4,185.0,174.0,222.0,11.0,12.0,196.0,0.7,9.4,181.8,156.0,203.0,20.7,12.0,215.0,227.0,13.0,3.0,0.0,6.0,53.0,2.0,0.0,11.0,IND,9,2,31,0.0,0.0,0.0,0
Auden Tate,1.7,1.6,0.0,2.4,16.7,0.0,0.0,0.0,15.0,121.8,85.0,138.0,11.8,10.0,142.0,3.2,29.0,117.3,92.0,129.0,13.4,10.0,144.0,138.0,10.0,14.0,0.0,22.0,150.0,0.0,0.0,0.0,CIN,24,20,22,0.0,0.0,0.0,4
Austin Watkins Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.3,184.0,227.0,43.7,13.0,280.0,0.0,0.0,247.0,221.0,287.0,26.0,14.0,273.0,225.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,0
Ben Skowronek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5,176.0,226.0,11.5,13.0,199.0,0.0,0.0,190.4,151.0,200.0,19.9,12.0,206.0,219.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,3,5,4,0.0,0.0,0.0,6
Brandin Cooks,10.1,5.4,0.4,7.9,76.7,0.0,0.0,0.0,151.0,36.0,16.0,36.0,5.6,5.0,57.0,15.5,232.0,35.7,21.0,34.0,6.4,5.0,51.0,36.0,5.0,81.0,6.0,119.0,1150.0,0.0,0.0,0.0,HOU,10,14,13,26.7,20.0,46.7,1
Brandon Aiyuk,10.4,5.0,0.4,8.0,62.3,0.5,0.2,6.4,124.5,24.3,13.0,23.0,4.3,4.0,38.0,15.4,184.5,25.4,16.0,24.0,4.4,4.0,38.0,25.0,4.0,60.0,5.0,96.0,748.0,6.0,2.0,77.0,SF,1,9,2,16.7,25.0,58.3,2
Brandon Powell,1.2,0.8,0.1,1.2,4.6,0.1,0.0,0.5,17.6,202.5,190.0,235.0,12.5,13.0,215.0,2.0,29.6,236.0,228.0,283.0,8.0,14.0,244.0,232.0,13.0,12.0,2.0,18.0,69.0,2.0,0.0,7.0,FA,33,33,33,0.0,0.0,0.0,7
Brandon Zylstra,0.2,0.2,0.0,0.3,2.2,0.1,0.0,0.1,3.6,207.5,188.0,236.0,19.5,13.0,227.0,0.4,6.6,202.7,149.0,201.0,61.0,12.0,347.0,241.0,13.0,3.0,0.0,4.0,35.0,1.0,0.0,1.0,CAR,5,7,7,0.0,0.0,0.0,7
Braxton Berrios,3.8,2.3,0.2,3.4,24.6,0.2,0.0,1.8,60.3,146.4,80.0,160.0,27.8,11.0,203.0,6.1,97.3,146.2,117.0,160.0,18.6,11.0,189.0,158.0,11.0,37.0,3.0,55.0,394.0,3.0,0.0,29.0,NYJ,7,10,11,0.0,0.0,0.0,6
Breshad Perriman,5.8,2.5,0.3,5.0,42.1,0.1,0.0,0.5,69.1,68.8,47.0,68.0,8.5,7.0,97.0,8.3,99.1,85.0,53.0,100.0,19.1,8.0,138.0,72.0,7.0,30.0,3.0,60.0,505.0,1.0,0.0,6.0,CHI,12,19,9,0.0,0.0,0.0,2
Bryan Edwards,2.1,0.9,0.1,1.3,16.1,0.0,0.0,0.0,25.3,81.4,39.0,76.0,10.5,8.0,126.0,3.0,36.3,69.3,37.0,69.0,12.3,7.0,127.0,77.0,8.0,11.0,1.0,15.0,193.0,0.0,0.0,0.0,LV,31,32,17,0.0,0.0,0.0,3
Byron Pringle,2.3,1.1,0.1,1.4,13.3,0.0,0.0,0.0,28.0,106.0,58.0,115.0,17.8,9.0,142.0,3.4,41.0,100.4,68.0,113.0,16.0,9.0,137.0,116.0,9.0,13.0,1.0,17.0,160.0,0.0,0.0,0.0,KC,26,23,25,0.0,0.0,0.0,4
C.J. Board,0.7,0.8,0.0,1.1,7.2,0.1,0.0,0.2,10.4,219.5,207.0,240.0,12.5,14.0,232.0,1.5,21.4,218.3,180.0,247.0,24.8,13.0,248.0,237.0,13.0,11.0,0.0,16.0,101.0,1.0,0.0,3.0,NYG,13,17,12,0.0,0.0,0.0,0
Cade Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5,128.0,186.0,28.6,12.0,206.0,0.0,0.0,180.0,164.0,202.0,13.0,12.0,200.0,184.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,30,28,26,0.0,0.0,0.0,7
Calvin Ridley,12.8,6.0,0.6,9.5,91.6,0.3,0.0,0.1,191.5,4.3,1.0,4.0,1.3,2.0,11.0,18.8,281.5,4.8,1.0,5.0,1.4,2.0,10.0,5.0,2.0,90.0,9.0,143.0,1374.0,5.0,0.0,1.0,ATL,8,12,10,26.7,13.3,73.3,1
Cam Sims,3.4,2.0,0.1,3.0,29.8,0.1,0.0,0.3,54.2,127.0,65.0,142.0,13.5,10.0,143.0,5.4,86.2,128.2,96.0,132.0,12.9,10.0,147.0,140.0,10.0,32.0,1.0,48.0,477.0,1.0,0.0,5.0,WAS,14,25,1,0.0,0.0,0.0,6
Cameron Batson,1.5,1.0,0.1,1.1,8.3,0.3,0.0,1.7,18.0,165.5,137.0,190.0,27.6,12.0,211.0,2.5,30.0,149.2,111.0,167.0,15.0,11.0,171.0,186.0,12.0,12.0,1.0,13.0,100.0,4.0,0.0,20.0,TEN,25,27,20,0.0,0.0,0.0,6
Cedrick Wilson,2.2,1.1,0.1,1.8,11.8,0.2,0.0,-0.8,34.62,134.9,107.0,154.0,8.7,11.0,148.0,3.2,51.62,129.0,104.0,147.0,13.3,10.0,152.0,167.0,11.0,17.0,2.0,28.0,189.0,3.0,0.0,-12.0,DAL,27,21,27,0.0,0.0,0.0,4
CeeDee Lamb,9.0,4.6,0.3,6.9,58.4,0.6,0.1,5.1,143.7,14.5,4.0,13.0,4.4,3.0,26.0,13.6,217.7,13.0,4.0,12.0,3.5,3.0,27.0,14.0,3.0,74.0,5.0,111.0,935.0,10.0,1.0,82.0,DAL,27,21,27,6.3,18.8,50.0,1
Chad Beebe,2.1,1.4,0.1,2.1,14.4,0.0,0.0,0.0,30.1,125.8,120.0,170.0,6.0,11.0,136.0,3.6,50.1,146.2,107.0,170.0,33.1,11.0,207.0,172.0,11.0,20.0,2.0,30.0,201.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,3
Chad Hansen,5.9,3.4,0.2,4.8,47.2,0.0,0.0,0.0,29.6,173.3,122.0,189.0,55.2,12.0,265.0,9.3,46.6,170.5,139.0,194.0,20.1,12.0,201.0,187.0,12.0,17.0,1.0,24.0,236.0,0.0,0.0,0.0,DET,23,30,6,0.0,0.0,0.0,0
Chad Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.5,160.0,229.0,32.5,13.0,225.0,0.0,0.0,180.5,171.0,256.0,9.5,13.0,190.0,228.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,0
Chase Claypool,9.6,3.9,0.6,6.8,54.6,0.6,0.1,1.0,152.9,28.9,18.0,28.0,4.2,5.0,42.0,13.4,214.9,29.0,17.0,25.0,5.4,5.0,53.0,29.0,5.0,62.0,9.0,109.0,873.0,10.0,2.0,16.0,PIT,22,22,14,6.3,37.5,50.0,3
Chester Rogers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.5,126.0,206.0,43.5,12.0,213.0,0.0,0.0,186.8,144.0,192.0,37.6,12.0,257.0,208.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,25,27,20,0.0,0.0,0.0,0
Chris Conley,3.8,2.7,0.1,4.2,31.4,0.0,0.0,0.0,57.1,126.0,94.0,140.0,15.6,10.0,154.0,6.5,97.1,111.9,75.0,127.0,20.4,10.0,146.0,142.0,10.0,40.0,2.0,63.0,471.0,0.0,0.0,0.0,HOU,10,14,13,0.0,0.0,0.0,7
Chris Finke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,136.0,221.0,51.0,12.0,238.0,0.0,0.0,154.5,134.0,239.0,20.5,13.0,175.0,223.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,26,23,25,0.0,0.0,0.0,0
Chris Godwin,10.5,5.4,0.6,7.0,70.0,0.0,0.0,0.0,126.0,15.0,9.0,14.0,3.0,3.0,29.0,15.9,191.0,16.3,9.0,15.0,3.2,3.0,28.0,15.0,3.0,65.0,7.0,84.0,840.0,0.0,0.0,0.0,TB,19,15,21,0.0,16.7,75.0,2
Chris Rowland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,182.0,232.0,13.0,13.0,208.0,0.0,0.0,172.0,129.0,227.0,30.7,13.0,199.0,218.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,0
Christian Blake,0.9,0.8,0.0,1.1,8.8,0.0,0.0,0.0,14.1,148.8,128.0,184.0,18.2,11.0,177.0,1.7,27.1,145.6,114.0,182.0,24.8,11.0,181.0,189.0,12.0,13.0,0.0,18.0,141.0,0.0,0.0,0.0,ATL,8,12,10,0.0,0.0,0.0,6
Christian Kirk,7.0,3.4,0.4,5.6,44.4,0.1,0.0,0.2,98.4,66.3,42.0,64.0,8.3,7.0,91.0,10.5,146.4,71.8,51.0,72.0,8.5,7.0,94.0,65.0,7.0,48.0,6.0,79.0,621.0,2.0,0.0,3.0,ARI,11,13,15,7.1,50.0,35.7,2
Cole Beasley,8.4,5.5,0.3,7.1,64.5,0.0,0.0,0.0,125.5,60.9,37.0,60.0,7.4,7.0,81.0,13.8,207.5,58.0,30.0,59.0,10.4,7.0,84.0,55.0,7.0,82.0,4.0,107.0,967.0,0.0,0.0,0.0,BUF,16,16,18,13.3,26.7,40.0,2
Collin Johnson,2.9,1.3,0.1,2.2,19.4,0.0,0.0,0.0,41.2,121.7,91.0,134.0,9.7,10.0,138.0,4.2,59.2,122.5,87.0,135.0,13.8,10.0,146.0,134.0,10.0,18.0,2.0,31.0,272.0,0.0,0.0,0.0,NYG,13,17,12,0.0,0.0,0.0,4
Cooper Kupp,7.8,6.1,0.2,8.3,64.9,0.3,0.0,2.2,116.7,22.1,13.0,21.0,3.6,4.0,33.0,13.9,208.7,17.9,10.0,17.0,3.6,4.0,31.0,20.0,4.0,92.0,3.0,124.0,974.0,4.0,0.0,33.0,LAR,3,5,4,6.7,26.7,53.3,2
Cordarrelle Patterson,3.0,1.3,0.0,1.6,8.3,4.0,0.1,14.5,48.4,107.6,73.0,121.0,15.6,10.0,139.0,4.3,69.4,116.2,71.0,123.0,14.6,10.0,155.0,123.0,10.0,21.0,0.0,25.0,132.0,64.0,1.0,232.0,ATL,8,12,10,0.0,0.0,0.0,3
Corey Davis,9.0,4.6,0.4,6.6,70.3,0.0,0.0,0.0,126.4,46.9,27.0,47.0,5.9,6.0,61.0,13.7,191.4,37.3,24.0,36.0,7.6,5.0,60.0,43.0,6.0,65.0,5.0,92.0,984.0,0.0,0.0,0.0,NYJ,7,10,11,14.3,28.6,50.0,1
Cornell Powell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,81.0,137.0,17.3,10.0,157.0,0.0,0.0,137.4,93.0,149.0,23.3,10.0,199.0,137.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,26,23,25,0.0,0.0,0.0,6
Courtland Sutton,6.6,3.0,0.0,6.0,66.0,0.0,0.0,0.0,6.6,27.8,14.0,27.0,5.0,4.0,45.0,9.6,9.6,32.6,21.0,33.0,5.2,5.0,51.0,28.0,5.0,3.0,0.0,6.0,66.0,0.0,0.0,0.0,DEN,21,26,8,0.0,0.0,0.0,2
Curtis Samuel,9.0,5.1,0.2,6.5,56.7,2.7,0.1,13.3,135.1,38.8,23.0,38.0,7.7,5.0,87.0,14.1,212.1,44.7,25.0,43.0,7.0,6.0,66.0,40.0,5.0,77.0,3.0,97.0,851.0,41.0,2.0,200.0,WAS,14,25,1,0.0,40.0,46.7,2
D'Wayne Eskridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.0,108.0,15.1,9.0,134.0,0.0,0.0,99.6,69.0,104.0,12.5,9.0,124.0,109.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,30,28,26,0.0,0.0,0.0,3
D.J. Chark Jr.,7.7,4.1,0.4,7.2,54.3,0.0,0.0,0.0,100.6,31.3,19.0,30.0,5.0,5.0,49.0,11.8,153.6,40.3,21.0,41.0,8.4,5.0,67.0,32.0,5.0,53.0,5.0,93.0,706.0,0.0,0.0,0.0,JAC,4,8,3,15.4,46.2,23.1,0
D.J. Moore,9.7,4.4,0.3,7.9,79.5,0.1,0.0,1.5,145.5,17.6,9.0,18.0,3.1,3.0,37.0,14.1,211.5,18.4,11.0,18.0,3.9,4.0,33.0,18.0,4.0,66.0,4.0,118.0,1193.0,2.0,0.0,22.0,CAR,5,7,7,0.0,40.0,46.7,1
D.K. Metcalf,11.8,5.2,0.6,8.1,81.4,0.0,0.0,0.0,188.3,6.1,1.0,6.0,1.5,2.0,11.0,17.0,271.3,7.8,4.0,7.0,2.3,2.0,16.0,6.0,2.0,83.0,10.0,129.0,1303.0,0.0,0.0,0.0,SEA,30,28,26,18.8,18.8,50.0,0
Damiere Byrd,4.2,2.9,0.1,4.8,37.8,0.1,0.0,0.9,67.9,132.0,102.0,151.0,16.2,11.0,159.0,7.2,114.9,120.8,82.0,139.0,15.9,10.0,147.0,150.0,11.0,47.0,1.0,77.0,604.0,2.0,0.0,15.0,CHI,12,19,9,6.3,68.8,6.3,3
Danny Amendola,4.3,3.3,0.0,4.9,43.0,0.1,0.0,0.1,60.4,115.9,95.0,132.0,14.1,10.0,156.0,7.6,106.4,127.1,99.0,143.0,21.4,10.0,193.0,132.0,10.0,46.0,0.0,69.0,602.0,1.0,0.0,2.0,FA,33,33,33,0.0,71.4,21.4,0
Dante Pettis,1.7,0.6,0.1,0.9,10.9,0.0,0.0,0.0,11.6,192.3,126.0,201.0,58.4,12.0,268.0,2.2,15.6,217.7,140.0,217.0,64.0,12.0,329.0,200.0,12.0,4.0,1.0,6.0,76.0,0.0,0.0,0.0,NYG,13,17,12,0.0,0.0,0.0,5
Darius Slayton,5.7,3.1,0.2,6.0,46.9,0.1,0.0,-0.1,91.0,71.6,50.0,70.0,9.9,7.0,114.0,8.8,141.0,77.4,57.0,76.0,9.4,7.0,111.0,73.0,7.0,50.0,3.0,96.0,751.0,2.0,0.0,-1.0,NYG,13,17,12,6.3,62.5,18.8,3
Darnell Mooney,5.7,3.8,0.3,6.1,39.4,0.3,0.0,1.3,91.1,56.0,31.0,54.0,8.0,6.0,81.0,9.5,152.1,50.3,35.0,50.0,7.4,6.0,75.0,51.0,6.0,61.0,4.0,98.0,631.0,4.0,0.0,20.0,CHI,12,19,9,0.0,62.5,18.8,2
Davante Adams,17.4,8.2,1.3,10.6,98.1,0.0,0.0,0.0,243.4,2.3,1.0,2.0,1.1,1.0,7.0,25.6,358.4,1.2,1.0,1.0,0.6,1.0,4.0,1.0,1.0,115.0,18.0,149.0,1374.0,0.0,0.0,0.0,GB,29,29,19,50.0,7.1,85.7,1
David Moore,5.2,2.2,0.4,2.9,26.1,0.5,0.0,3.8,83.8,126.5,84.0,139.0,15.6,10.0,150.0,7.4,118.8,133.3,84.0,146.0,23.1,10.0,210.0,141.0,10.0,35.0,6.0,47.0,417.0,8.0,0.0,61.0,LV,31,32,17,0.0,62.5,25.0,4
Dazz Newsome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.1,98.0,143.0,16.9,10.0,160.0,0.0,0.0,158.4,99.0,161.0,48.9,11.0,326.0,143.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,12,19,9,0.0,0.0,0.0,7
DeAndre Hopkins,10.8,7.2,0.4,10.0,87.9,0.1,0.0,0.1,172.8,5.7,1.0,5.0,1.8,2.0,21.0,18.0,287.8,4.0,1.0,4.0,1.3,1.0,9.0,4.0,1.0,115.0,6.0,160.0,1407.0,1.0,0.0,1.0,ARI,11,13,15,25.0,12.5,62.5,1
DeMichael Harris,1.8,1.4,0.0,1.4,11.3,0.9,0.0,6.6,12.5,210.7,162.0,217.0,44.2,12.0,269.0,3.2,22.5,211.3,174.0,242.0,22.9,13.0,231.0,216.0,12.0,10.0,0.0,10.0,79.0,6.0,0.0,46.0,IND,9,2,31,0.0,0.0,0.0,0
DeSean Jackson,6.2,2.8,0.2,5.2,47.2,0.2,0.0,2.4,30.8,84.4,51.0,83.0,10.3,8.0,130.0,9.0,44.8,90.0,64.0,88.0,10.0,8.0,133.0,89.0,8.0,14.0,1.0,26.0,236.0,1.0,0.0,12.0,LAR,3,5,4,0.0,0.0,0.0,4
DeVante Parker,7.4,4.5,0.3,7.4,56.6,0.0,0.0,0.0,103.3,45.9,21.0,45.0,6.2,6.0,64.0,11.9,166.3,52.8,35.0,52.0,7.7,6.0,72.0,46.0,6.0,63.0,4.0,103.0,793.0,0.0,0.0,0.0,MIA,20,4,29,0.0,35.7,42.9,1
DeVonta Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,17.0,39.0,10.0,5.0,85.0,0.0,0.0,40.0,14.0,40.0,8.2,5.0,69.0,41.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,17,3,32,0.0,0.0,0.0,1
Dede Westbrook,-0.8,0.5,0.0,0.5,2.0,0.0,0.0,0.0,-1.6,117.4,83.0,124.0,18.5,10.0,188.0,-0.3,-0.6,119.5,94.0,128.0,16.3,10.0,171.0,124.0,10.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,MIN,18,6,28,0.0,0.0,0.0,4
Deebo Samuel,6.8,4.7,0.1,6.3,55.9,1.1,0.0,3.7,47.7,35.4,23.0,33.0,5.8,5.0,62.0,11.5,80.7,36.0,20.0,35.0,6.9,5.0,61.0,35.0,5.0,33.0,1.0,44.0,391.0,8.0,0.0,26.0,SF,1,9,2,0.0,0.0,0.0,1
Demarcus Robinson,4.2,3.0,0.2,3.9,31.1,0.0,0.0,0.0,62.6,104.0,44.0,113.0,18.8,9.0,135.0,7.2,107.6,101.0,68.0,116.0,16.4,9.0,163.0,112.0,9.0,45.0,3.0,59.0,466.0,0.0,0.0,0.0,KC,26,23,25,0.0,56.3,6.3,3
Demetric Felton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.4,118.0,166.0,13.2,11.0,172.0,0.0,0.0,143.2,131.0,165.0,9.3,11.0,157.0,164.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,32,31,24,0.0,0.0,0.0,5
Denzel Mims,4.2,2.6,0.0,4.9,39.7,0.0,0.0,0.0,37.7,75.7,53.0,75.0,11.9,7.0,121.0,6.7,60.7,89.7,61.0,84.0,15.5,8.0,141.0,75.0,7.0,23.0,0.0,44.0,357.0,0.0,0.0,0.0,NYJ,7,10,11,0.0,0.0,0.0,4
Deonte Harris,3.1,2.2,0.1,2.8,20.7,0.7,0.0,5.7,27.7,111.9,68.0,127.0,20.3,10.0,153.0,5.3,47.7,108.8,74.0,122.0,17.6,10.0,151.0,129.0,10.0,20.0,1.0,25.0,186.0,6.0,0.0,51.0,NO,6,11,5,0.0,0.0,0.0,3
Devin Duvernay,2.1,1.3,0.0,1.6,12.6,0.3,0.0,4.4,33.1,121.4,70.0,129.0,16.6,10.0,163.0,3.3,53.1,123.3,78.0,126.0,14.3,10.0,154.0,128.0,10.0,20.0,0.0,26.0,201.0,4.0,0.0,70.0,BAL,15,18,16,0.0,0.0,0.0,4
Devin Funchess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.2,79.0,149.0,18.5,11.0,163.0,0.0,0.0,183.8,86.0,212.0,95.0,12.0,341.0,147.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,7
Devin Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.5,110.0,208.0,60.5,12.0,231.0,0.0,0.0,220.0,198.0,275.0,22.0,14.0,242.0,207.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,4,8,3,0.0,0.0,0.0,0
Dez Bryant,2.8,1.0,0.3,1.8,7.8,0.0,0.0,0.0,16.7,182.0,146.0,218.0,36.0,12.0,218.0,3.8,22.7,209.0,153.0,258.0,42.5,13.0,256.0,221.0,12.0,6.0,2.0,11.0,47.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,0
